Condition	Mode	Direction	N	M	X	LOD	LOD_cor	P	P_adj	Gene-Ontology-ID	Gene-Ontology-Attribute
1181-0519	nodewise	enhanced	15	35	70	0.86	0.86	7.50E-07	0.0014	GO:0005886	plasma membrane
atorvastatin	nodewise	depleted	3	11	5	2	-2	4.10E-05	0.042	GO:0008374	O-acyltransferase activity
atorvastatin	nodewise	depleted	6	11	14	1.9	-1.9	1.70E-08	0	GO:0005811	lipid particle
atorvastatin	nodewise	depleted	6	7	42	1.8	-1.8	4.40E-07	3.00E-04	GO:0044255	cellular lipid metabolic process
atorvastatin	nodewise	depleted	5	7	39	1.6	-1.6	1.40E-05	0.015	GO:0008610	lipid biosynthetic process
atorvastatin	nodewise	depleted	8	12	55	1.4	-1.4	8.60E-07	7.00E-04	GO:0006629	lipid metabolic process
H2O2	nodewise	enhanced	3	7	3	3	3	8.80E-07	0.0028	GO:0006827	high-affinity iron ion transport
H2O2	nodewise	enhanced	3	7	3	3	3	8.80E-07	0.0028	GO:0034755	iron ion transmembrane transport
H2O2	nodewise	enhanced	3	7	4	2.5	2.5	3.50E-06	0.011	GO:0006826	iron ion transport
H2O2	nodewise	enhanced	5	5	70	2	2	1.60E-05	0.05	GO:0005886	plasma membrane
H2O2	nodewise	enhanced	5	8	23	1.7	1.7	2.30E-06	0.0066	GO:0034220	ion transmembrane transport
H2O2	nodewise	enhanced	8	10	56	1.6	1.6	1.00E-07	4.00E-04	GO:0055085	transmembrane transport
H2O2	nodewise	enhanced	7	10	50	1.4	1.4	1.40E-06	0.0042	GO:0022891	substrate-specific transmembrane transporter activity
H2O2	nodewise	enhanced	7	10	64	1.3	1.3	8.40E-06	0.028	GO:0022892	substrate-specific transporter activity
H2O2	nodewise	enhanced	12	46	31	1	1	3.20E-07	8.00E-04	GO:0006812	cation transport
H2O2	nodewise	enhanced	11	46	28	1	1	9.20E-07	0.0028	GO:0008324	cation transmembrane transporter activity
H2O2	nodewise	enhanced	12	46	38	0.88	0.88	4.20E-06	0.013	GO:0015075	ion transmembrane transporter activity
H2O2	nodewise	enhanced	15	46	55	0.81	0.81	1.60E-06	0.0048	GO:0022857	transmembrane transporter activity
H2O2	nodewise	enhanced	13	46	49	0.78	0.78	1.40E-05	0.041	GO:0006811	ion transport
H2O2	nodewise	enhanced	34	50	193	0.73	0.73	2.10E-08	0	GO:0016021	integral component of membrane
H2O2	nodewise	enhanced	17	47	76	0.7	0.7	7.80E-06	0.027	GO:0005215	transporter activity
H2O2	nodewise	enhanced	36	50	251	0.62	0.62	2.40E-06	0.007	GO:0044425	membrane part
H2O2	nodewise	enhanced	39	68	208	0.48	0.48	1.50E-05	0.045	GO:0031090	organelle membrane
H2O2	nodewise	depleted	4	26	4	2.4	-2.4	2.40E-06	0.0052	GO:0015846	polyamine transport
H2O2	nodewise	depleted	4	26	4	2.4	-2.4	2.40E-06	0.0052	GO:0000297	spermine transmembrane transporter activity
H2O2	nodewise	depleted	4	26	4	2.4	-2.4	2.40E-06	0.0052	GO:0000296	spermine transport
H2O2	nodewise	depleted	4	26	4	2.4	-2.4	2.40E-06	0.0052	GO:0015297	antiporter activity
H2O2	nodewise	depleted	4	26	4	2.4	-2.4	2.40E-06	0.0052	GO:0015203	polyamine transmembrane transporter activity
H2O2	nodewise	depleted	20	20	300	1.7	-1.7	3.30E-07	8.00E-04	GO:0016020	membrane
H2O2	nodewise	depleted	17	18	251	1.3	-1.3	1.60E-06	0.0039	GO:0044425	membrane part
H2O2	nodewise	depleted	9	17	55	1.1	-1.1	2.40E-06	0.0052	GO:0022857	transmembrane transporter activity
H2O2	nodewise	depleted	22	42	70	1.1	-1.1	4.90E-12	0	GO:0005886	plasma membrane
H2O2	nodewise	depleted	10	33	35	1	-1	3.20E-06	0.0064	GO:0043436	oxoacid metabolic process
H2O2	nodewise	depleted	10	33	35	1	-1	3.20E-06	0.0064	GO:0006082	organic acid metabolic process
H2O2	nodewise	depleted	10	26	50	0.94	-0.94	9.10E-06	0.019	GO:0022891	substrate-specific transmembrane transporter activity
N-starvation	nodewise	depleted	3	9	4	2.3	-2.3	8.40E-06	0.012	GO:0015846	polyamine transport
N-starvation	nodewise	depleted	3	9	4	2.3	-2.3	8.40E-06	0.012	GO:0000297	spermine transmembrane transporter activity
N-starvation	nodewise	depleted	3	9	4	2.3	-2.3	8.40E-06	0.012	GO:0000296	spermine transport
N-starvation	nodewise	depleted	3	9	4	2.3	-2.3	8.40E-06	0.012	GO:0015297	antiporter activity
N-starvation	nodewise	depleted	3	9	4	2.3	-2.3	8.40E-06	0.012	GO:0015203	polyamine transmembrane transporter activity
N-starvation	nodewise	depleted	4	9	7	2.2	-2.2	7.00E-07	8.00E-04	GO:0015291	secondary active transmembrane transporter activity
N-starvation	nodewise	depleted	6	9	56	1.3	-1.3	2.80E-05	0.037	GO:0055085	transmembrane transport
N-starvation	nodewise	depleted	12	18	70	1.3	-1.3	1.80E-08	0	GO:0005886	plasma membrane
N-starvation	nodewise	depleted	9	18	50	1.1	-1.1	1.90E-06	0.0027	GO:0022891	substrate-specific transmembrane transporter activity
N-starvation	nodewise	depleted	9	18	55	1.1	-1.1	4.50E-06	0.006	GO:0022857	transmembrane transporter activity
N-starvation	nodewise	depleted	9	18	64	1	-1	1.70E-05	0.027	GO:0022892	substrate-specific transporter activity
NaCl	nodewise	enhanced	6	55	6	2.2	2.2	3.70E-07	0.0014	GO:0005885	Arp2/3 protein complex
NaCl	nodewise	enhanced	7	55	9	1.5	1.5	9.20E-07	0.0028	GO:0030832	regulation of actin filament length
NaCl	nodewise	enhanced	7	55	9	1.5	1.5	9.20E-07	0.0028	GO:0030833	regulation of actin filament polymerization
NaCl	nodewise	enhanced	7	55	9	1.5	1.5	9.20E-07	0.0028	GO:0008064	regulation of actin polymerization or depolymerization
NaCl	nodewise	enhanced	7	55	10	1.4	1.4	2.80E-06	0.0076	GO:0032271	regulation of protein polymerization
NaCl	nodewise	enhanced	8	55	13	1.3	1.3	2.10E-06	0.0058	GO:0090066	regulation of anatomical structure size
NaCl	nodewise	enhanced	8	55	13	1.3	1.3	2.10E-06	0.0058	GO:0032535	regulation of cellular component size
NaCl	nodewise	enhanced	11	27	50	0.99	0.99	1.50E-06	0.0042	GO:0022891	substrate-specific transmembrane transporter activity
NaCl	nodewise	enhanced	11	27	55	0.94	0.94	4.20E-06	0.01	GO:0022857	transmembrane transporter activity
NaCl	nodewise	enhanced	17	43	70	0.81	0.81	4.80E-07	0.0017	GO:0005886	plasma membrane
NaCl	nodewise	depleted	43	50	300	0.85	-0.85	8.20E-09	1.00E-04	GO:0016020	membrane
NaCl	nodewise	depleted	36	50	193	0.82	-0.82	5.70E-10	0	GO:0016021	integral component of membrane
NaCl	nodewise	depleted	15	50	50	0.82	-0.82	1.30E-06	0.0028	GO:0022891	substrate-specific transmembrane transporter activity
NaCl	nodewise	depleted	15	50	55	0.76	-0.76	5.20E-06	0.013	GO:0022857	transmembrane transporter activity
NaCl	nodewise	depleted	38	50	251	0.71	-0.71	1.00E-07	4.00E-04	GO:0044425	membrane part
NaCl	nodewise	depleted	16	50	64	0.71	-0.71	8.30E-06	0.019	GO:0022892	substrate-specific transporter activity
sorbitol	nodewise	depleted	12	26	70	0.9	-0.9	4.50E-06	0.0067	GO:0005886	plasma membrane
sorbitol	nodewise	depleted	10	26	55	0.89	-0.89	2.30E-05	0.038	GO:0022857	transmembrane transporter activity
menadione	nodewise	depleted	4	4	26	2.4	-2.4	2.40E-06	0.0016	GO:0022804	active transmembrane transporter activity
menadione	nodewise	depleted	3	4	9	2.3	-2.3	8.40E-06	0.007	GO:0005342	organic acid transmembrane transporter activity
menadione	nodewise	depleted	3	4	13	2.1	-2.1	2.80E-05	0.023	GO:0015849	organic acid transport
menadione	nodewise	depleted	6	7	50	1.7	-1.7	1.30E-06	8.00E-04	GO:0022891	substrate-specific transmembrane transporter activity
menadione	nodewise	depleted	6	7	55	1.7	-1.7	2.40E-06	0.0015	GO:0022857	transmembrane transporter activity
menadione	nodewise	depleted	6	7	56	1.7	-1.7	2.70E-06	0.0019	GO:0055085	transmembrane transport
menadione	nodewise	depleted	6	7	64	1.6	-1.6	6.10E-06	0.0062	GO:0022892	substrate-specific transporter activity
menadione	nodewise	depleted	6	7	76	1.5	-1.5	1.80E-05	0.018	GO:0005215	transporter activity
heat-shock	nodewise	depleted	18	108	26	1.1	-1.1	2.70E-09	1.00E-04	GO:0022804	active transmembrane transporter activity
heat-shock	nodewise	depleted	19	108	28	1.1	-1.1	1.50E-09	0	GO:0008324	cation transmembrane transporter activity
heat-shock	nodewise	depleted	11	108	17	0.97	-0.97	1.30E-05	0.045	GO:0042626	"ATPase activity, coupled to transmembrane movement of substances"
heat-shock	nodewise	depleted	11	108	17	0.97	-0.97	1.30E-05	0.045	GO:0016820	"hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances"
heat-shock	nodewise	depleted	18	108	31	0.88	-0.88	1.70E-07	0.001	GO:0006812	cation transport
heat-shock	nodewise	depleted	28	100	55	0.85	-0.85	2.10E-10	0	GO:0022857	transmembrane transporter activity
heat-shock	nodewise	depleted	21	108	38	0.84	-0.84	4.20E-08	2.00E-04	GO:0015075	ion transmembrane transporter activity
heat-shock	nodewise	depleted	28	102	56	0.82	-0.82	6.30E-10	0	GO:0055085	transmembrane transport
heat-shock	nodewise	depleted	26	108	50	0.81	-0.81	4.10E-09	1.00E-04	GO:0022891	substrate-specific transmembrane transporter activity
heat-shock	nodewise	depleted	24	108	49	0.75	-0.75	8.80E-08	5.00E-04	GO:0006811	ion transport
heat-shock	nodewise	depleted	28	108	64	0.67	-0.67	1.30E-07	9.00E-04	GO:0022892	substrate-specific transporter activity
heat-shock	nodewise	depleted	23	77	70	0.66	-0.66	1.20E-06	0.0054	GO:0005886	plasma membrane
heat-shock	nodewise	depleted	30	102	76	0.63	-0.63	1.60E-07	0.001	GO:0005215	transporter activity
heat-shock	nodewise	depleted	62	110	193	0.57	-0.57	9.00E-10	0	GO:0016021	integral component of membrane
heat-shock	nodewise	depleted	68	110	251	0.46	-0.46	4.60E-07	0.0021	GO:0044425	membrane part
heat-shock	nodewise	depleted	74	110	300	0.41	-0.41	7.60E-06	0.027	GO:0016020	membrane
ethanol	nodewise	enhanced	14	28	70	0.98	0.98	1.70E-07	0.001	GO:0005886	plasma membrane
ethanol	nodewise	depleted	18	164	26	0.83	-0.83	3.60E-06	0.014	GO:0022804	active transmembrane transporter activity
ethanol	nodewise	depleted	34	167	55	0.72	-0.72	1.10E-08	0	GO:0022857	transmembrane transporter activity
ethanol	nodewise	depleted	31	167	50	0.71	-0.71	5.10E-08	1.00E-04	GO:0022891	substrate-specific transmembrane transporter activity
ethanol	nodewise	depleted	23	167	38	0.66	-0.66	6.70E-06	0.028	GO:0015075	ion transmembrane transporter activity
ethanol	nodewise	depleted	68	114	193	0.65	-0.65	1.80E-12	0	GO:0016021	integral component of membrane
ethanol	nodewise	depleted	80	105	300	0.63	-0.63	1.60E-10	0	GO:0016020	membrane
ethanol	nodewise	depleted	32	167	56	0.63	-0.63	4.70E-07	0.0016	GO:0055085	transmembrane transport
ethanol	nodewise	depleted	71	105	251	0.59	-0.59	5.50E-10	0	GO:0044425	membrane part
ethanol	nodewise	depleted	38	167	70	0.59	-0.59	2.00E-07	4.00E-04	GO:0005886	plasma membrane
ethanol	nodewise	depleted	59	118	199	0.41	-0.41	4.50E-06	0.018	GO:0044765	single-organism transport
AA-mixture	nodewise	enhanced	19	114	39	0.69	0.69	7.00E-06	0.026	GO:0042254	ribosome biogenesis
AA-mixture	nodewise	enhanced	21	114	45	0.66	0.66	5.10E-06	0.018	GO:0044085	cellular component biogenesis
AA-mixture	nodewise	enhanced	53	87	193	0.64	0.64	4.40E-10	0	GO:0016021	integral component of membrane
AA-mixture	nodewise	enhanced	29	112	75	0.55	0.55	4.60E-06	0.017	GO:0044432	endoplasmic reticulum part
AA-mixture	nodewise	enhanced	58	87	251	0.55	0.55	8.40E-08	4.00E-04	GO:0044425	membrane part
AA-mixture	nodewise	depleted	13	25	70	1	-1	2.80E-07	0.0015	GO:0005886	plasma membrane
methionine	nodewise	enhanced	36	60	193	0.58	0.58	9.80E-07	0.0021	GO:0016021	integral component of membrane
methionine	nodewise	depleted	14	49	50	0.78	-0.78	6.40E-06	0.021	GO:0022891	substrate-specific transmembrane transporter activity
