Gene	Gene Systematic Name	Gene Ontology Term	Gene Ontology Term ID	Qualifier	Aspect	Method	Evidence	Source	Assigned On	Annotation Extension	Reference
RPL13A	YDL082W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL13A	YDL082W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-20		Gaudet P, et al (2010)
RPL13A	YDL082W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018256, IPR001380	InterPro	2017-01-14		DDB, et al. (2001)
RPS16B	YDL083C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS16B	YDL083C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020574, IPR000754	InterPro	2017-01-14		DDB, et al. (2001)
RPS16B	YDL083C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
RPP1B	YDL130W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-02-03		Ben-Shem A, et al. (2011) PMID:22096102
RPP1B	YDL130W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR027534	InterPro	2017-01-14		DDB, et al. (2001)
RPL41B	YDL133C-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL41B	YDL133C-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR007836	InterPro	2017-01-14		DDB, et al. (2001)
RPL35B	YDL136W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL35B	YDL136W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001854, IPR018254	InterPro	2017-01-14		DDB, et al. (2001)
RPL35B	YDL136W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
RPL41A	YDL184C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL41A	YDL184C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR007836	InterPro	2017-01-14		DDB, et al. (2001)
RPL35A	YDL191W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL35A	YDL191W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001854, IPR018254	InterPro	2017-01-14		DDB, et al. (2001)
RPL35A	YDL191W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
MRPL11	YDL202W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
RPL4B	YDR012W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002136, IPR023574	InterPro	2017-01-14		DDB, et al. (2001)
RPL4B	YDR012W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2015-07-08		Ben-Shem A, et al. (2011) PMID:22096102
RPL4B	YDR012W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS11A	YDR025W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-22		Otaka E, et al. (1982) PMID:6814480
RPS11A	YDR025W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000266, IPR019979	InterPro	2017-01-14		DDB, et al. (2001)
RSM10	YDR041W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001848	InterPro	2017-01-14		DDB, et al. (2001)
RSM10	YDR041W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RPS13	YDR064W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPS13	YDR064W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-25		Xiang RH and Lee JC (1989) PMID:2517480
RPS13	YDR064W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-25		Yeh YC, et al. (1986) PMID:3533916
RPS13	YDR064W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR012606, IPR000589	InterPro	2017-01-14		DDB, et al. (2001)
MRX14	YDR115W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000271	InterPro	2017-01-14		DDB, et al. (2001)
MRX14	YDR115W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	ISA with ACA79888.1	SGD	2008-11-11		Gan X, et al. (2002) PMID:12392552
MRPL1	YDR116C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002143, IPR005879	InterPro	2017-01-14		DDB, et al. (2001)
MRPL1	YDR116C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RSM24	YDR175C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RSM24	YDR175C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR017081	InterPro	2017-01-14		DDB, et al. (2001)
MRPL7	YDR237W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MHR1	YDR296W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2015-06-10		Amunts A, et al. (2014) PMID:24675956
MRPL35	YDR322W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL35	YDR322W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
MRPS28	YDR337W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005290, IPR000589	InterPro	2017-01-14		DDB, et al. (2001)
MRPS28	YDR337W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
MRP1	YDR347W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RPP2B	YDR382W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-02-03		Ben-Shem A, et al. (2011) PMID:22096102
RPP2B	YDR382W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR027534	InterPro	2017-01-14		DDB, et al. (2001)
MRP20	YDR405W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRP20	YDR405W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2011-02-04		Fearon K and Mason TL (1992) PMID:1544898
MRP20	YDR405W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR012678, IPR013025	InterPro	2017-01-14		DDB, et al. (2001)
RPL12B	YDR418W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL12B	YDR418W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020783, IPR000911, IPR020785	InterPro	2017-01-14		DDB, et al. (2001)
RPL12B	YDR418W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
RPS17B	YDR447C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS17B	YDR447C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018273, IPR001210	InterPro	2017-01-14		DDB, et al. (2001)
RPS18A	YDR450W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS18A	YDR450W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018269, IPR001892	InterPro	2017-01-14		DDB, et al. (2001)
MRPL28	YDR462W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
RPL27B	YDR471W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with preribosome, large subunit precursor	SGD	2013-11-09		Altvater M, et al. (2012) PMID:23212245
RPL27B	YDR471W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018262, IPR001141	InterPro	2017-01-14		DDB, et al. (2001)
RPL27B	YDR471W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RSM28	YDR494W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2005-03-01		Williams EH, et al. (2005) PMID:15701796
RPL37B	YDR500C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL37B	YDR500C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018267, IPR001569, IPR011331	InterPro	2017-01-14		DDB, et al. (2001)
RPL37B	YDR500C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RML2	YEL050C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2013-08-30		Graack HR and Wittmann-Liebold B (1998) PMID:9445368
RML2	YEL050C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR022666, IPR002171, IPR022669, IPR005880, IPR022671	InterPro	2017-01-14		DDB, et al. (2001)
RPL12A	YEL054C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL12A	YEL054C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020783, IPR000911, IPR020785	InterPro	2017-01-14		DDB, et al. (2001)
RPL12A	YEL054C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
RSM18	YER050C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RSM18	YER050C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001648	InterPro	2017-01-14		DDB, et al. (2001)
RPL34A	YER056C-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR008195	InterPro	2017-01-14		DDB, et al. (2001)
RPL34A	YER056C-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with preribosome, large subunit precursor	SGD	2013-11-09		Ohmayer U, et al. (2013) PMID:23874617
RPL34A	YER056C-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS24A	YER074W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS24A	YER074W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001976, IPR012678	InterPro	2017-01-14		DDB, et al. (2001)
RPS8B	YER102W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPS8B	YER102W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018283, IPR001047	InterPro	2017-01-14		DDB, et al. (2001)
RPL23B	YER117W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL23B	YER117W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000218	InterPro	2017-01-14		DDB, et al. (2001)
RPL23B	YER117W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS26B	YER131W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS26B	YER131W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000892	InterPro	2017-01-14		DDB, et al. (2001)
RPS26B	YER131W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-20		Gaudet P, et al (2010)
RPL22B	YFL034C-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPL22B	YFL034C-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002671	InterPro	2017-01-14		DDB, et al. (2001)
RPL2A	YFR031C-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL2A	YFR031C-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR022666, IPR022671, IPR022669, IPR002171	InterPro	2017-01-14		DDB, et al. (2001)
RPL29	YFR032C-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL29	YFR032C-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002673	InterPro	2017-01-14		DDB, et al. (2001)
YMR31	YFR049W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-02-03		Matsushita Y, et al. (1989) PMID:2693936
GET1	YGL020C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2014-02-10		Gaudet P, et al (2010)
RPL30	YGL030W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2001-01-18		Vilardell J and Warner JR (1997) PMID:9121443
RPL30	YGL030W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000231	InterPro	2017-01-14		DDB, et al. (2001)
RPL24A	YGL031C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL24A	YGL031C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
MNP1	YGL068W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR013823, IPR000206, IPR008932	InterPro	2017-01-14		DDB, et al. (2001)
MNP1	YGL068W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2015-06-10		Amunts A, et al. (2014) PMID:24675956
RPL7A	YGL076C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL28	YGL103W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPL28	YGL103W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR030878, IPR001196	InterPro	2017-01-14		DDB, et al. (2001)
RPL28	YGL103W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2015-07-08		Ben-Shem A, et al. (2011) PMID:22096102
RPS2	YGL123W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-23		Xiang RH and Lee JC (1989) PMID:2517480
RPS2	YGL123W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR013810, IPR005711, IPR005324, IPR000851	InterPro	2017-01-14		DDB, et al. (2001)
RSM23	YGL129C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RPL1B	YGL135W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
